packet size,time interval,dst port,label
645,0.006867170333862305,443,0
56,0.0048449039459228516,62355,0
56,0.006836891174316406,62355,0
2454,0.0058917999267578125,62355,0
54,0.0028924942016601562,443,0
1254,0.006834983825683594,62355,0
550,0.014648675918579102,62355,0
54,0.004881143569946289,443,0
1254,0.008790254592895508,62355,0
1254,0.007831573486328125,62355,0
290,0.0039038658142089844,62355,0
54,0.0039103031158447266,443,0
134,0.009341716766357422,443,0
146,0.002929210662841797,443,0
798,0.0039014816284179688,443,0
628,0.004889011383056641,62355,0
116,0.0029249191284179688,62355,0
85,0.0029311180114746094,62355,0
54,0.002930164337158203,443,0
85,0.0078125,443,0
56,0.003913164138793945,62355,0
66,0.0077991485595703125,7680,0
66,0.0039212703704833984,61336,0
56,0.003907918930053711,7680,0
129,0.002916574478149414,7680,0
129,0.002933979034423828,61336,0
72,0.003908634185791016,7680,0
72,0.006830453872680664,61336,0
54,0.0029296875,61336,0
56,0.002925872802734375,7680,0
56,0.002935647964477539,7680,0
54,0.00391077995300293,61336,0
66,0.003923654556274414,59768,0
54,0.0019490718841552734,443,0
1466,0.003908395767211914,443,0
894,0.0019562244415283203,443,0
54,0.0029265880584716797,443,0
56,0.09724950790405273,59768,0
56,0.004881381988525391,59768,0
1466,0.004453420639038086,59768,0
2878,0.003906965255737305,59768,0
54,0.0029304027557373047,443,0
1466,0.0029273033142089844,59768,0
188,0.0039081573486328125,59768,0
54,0.004919528961181641,443,0
144,0.002931356430053711,443,0
146,0.0028905868530273438,443,0
474,0.0039060115814208984,443,0
179,0.005862236022949219,443,0
56,0.022452831268310547,59152,0
54,0.002934694290161133,443,0
1086,0.09527444839477539,59768,0
85,0.0029757022857666016,59768,0
54,0.0048406124114990234,443,0
85,0.003966093063354492,443,0
56,0.004821300506591797,59768,0
286,0.07212138175964355,59768,0
658,0.0029282569885253906,59768,0
85,0.0029296875,59768,0
93,0.002966165542602539,59768,0
54,0.0028924942016601562,443,0
93,0.0019507408142089844,443,0
56,0.06457948684692383,59768,0
56,0.0850820541381836,59768,0
66,0.1918163299560547,7680,0
66,0.0035402774810791016,49783,0
56,0.003905057907104492,7680,0
129,0.004931926727294922,7680,0
129,0.00389862060546875,49783,0
74,0.004881620407104492,7680,0
74,0.004878997802734375,49783,0
54,0.003908634185791016,49783,0
56,0.004848957061767578,7680,0
56,0.002916574478149414,7680,0
54,0.0019860267639160156,49783,0
66,0.4911530017852783,7680,0
66,0.0029196739196777344,54994,0
56,0.0029439926147460938,7680,0
129,0.0029168128967285156,7680,0
129,0.004884243011474609,54994,0
74,0.004887819290161133,7680,0
74,0.0029244422912597656,54994,0
54,0.001953601837158203,54994,0
56,0.003904581069946289,7680,0
56,0.002930164337158203,7680,0
54,0.0039052963256835938,54994,0
54,2.319342851638794,443,0
54,0.030870676040649414,443,0
56,0.1577463150024414,59768,0
54,0.0068356990814208984,443,0
56,0.0078125,60268,0
54,0.009785175323486328,443,0
66,0.03962111473083496,8081,0
66,0.006839275360107422,8081,0
66,0.004877805709838867,8081,0
66,0.004884958267211914,8081,0
66,0.00390625,8081,0
66,0.0058591365814208984,8081,0
66,0.003904581069946289,8081,0
66,0.004884243011474609,8081,0
58,0.07480406761169434,62356,0
58,0.004875659942626953,62360,0
1168,0.0029306411743164062,8081,0
1248,0.00585627555847168,8081,0
54,0.0058596134185791016,8081,0
58,0.003909111022949219,62357,0
58,0.007812023162841797,62363,0
54,0.004882335662841797,8081,0
1168,0.005858182907104492,8081,0
54,0.004883766174316406,8081,0
54,0.003919124603271484,8081,0
1184,0.0039060115814208984,8081,0
54,0.001951456069946289,8081,0
58,0.003911256790161133,62358,0
54,0.0035080909729003906,8081,0
1168,0.00488734245300293,8081,0
54,0.003897428512573242,8081,0
56,0.003907442092895508,62356,0
56,0.005860805511474609,62360,0
56,0.003905773162841797,62357,0
66,0.00390625,62361,0
56,0.0039060115814208984,62363,0
56,0.005872249603271484,62358,0
54,0.0029218196868896484,8081,0
1184,0.0038995742797851562,8081,0
54,0.0039055347442626953,8081,0
66,0.005858898162841797,62359,0
58,0.006836891174316406,62362,0
1152,0.00683283805847168,8081,0
1248,0.011728525161743164,8081,0
56,0.011722564697265625,62361,0
54,0.012263298034667969,8081,0
54,0.011718988418579102,8081,0
56,0.010738134384155273,62359,0
56,0.009765863418579102,62362,0
66,0.042966604232788086,8081,0
66,0.0039081573486328125,8081,0
66,0.08454108238220215,62364,0
54,0.003912687301635742,8081,0
1152,0.0029268264770507812,8081,0
54,0.001959562301635742,8081,0
56,0.004878520965576172,62364,0
66,0.00490117073059082,62365,0
54,0.003905057907104492,8081,0
1168,0.0039119720458984375,8081,0
54,0.0019519329071044922,8081,0
56,0.002938985824584961,62365,0
54,0.7575488090515137,5228,0
54,0.34696531295776367,5228,0
56,0.12457060813903809,51842,0
66,0.04100656509399414,5228,0
66,0.26541900634765625,65357,0
54,0.002930164337158203,5228,0
1466,0.0019500255584716797,5228,0
437,0.0029315948486328125,5228,0
56,0.2601151466369629,65357,0
56,0.003513336181640625,65357,0
1466,0.003912925720214844,65357,0
54,0.0029282569885253906,5228,0
1466,0.003901243209838867,65357,0
54,0.00390625,5228,0
1466,0.0019562244415283203,65357,0
1466,0.0048825740814208984,65357,0
1466,0.004889726638793945,65357,0
719,0.004878044128417969,65357,0
54,0.002925872802734375,5228,0
118,0.002934694290161133,5228,0
263,0.0039021968841552734,5228,0
58,0.09831547737121582,7680,0
54,0.04007387161254883,58058,0
56,0.12415051460266113,65357,0
591,0.037123680114746094,65357,0
142,0.003888368606567383,65357,0
88,0.003905057907104492,65357,0
54,0.0029306411743164062,5228,0
66,0.18472695350646973,7680,0
66,0.009765148162841797,56591,0
54,0.006834506988525391,7680,0
129,0.028319358825683594,7680,0
129,0.0068476200103759766,56591,0
72,0.02399587631225586,7680,0
72,0.0371098518371582,56591,0
54,0.006828784942626953,56591,0
54,0.013672590255737305,7680,0
54,0.014652252197265625,7680,0
54,0.015206575393676758,56591,0
58,0.2267155647277832,7680,0
54,0.03905820846557617,59837,0
58,0.7324597835540771,7680,0
54,0.07774138450622559,50408,0
66,0.2644045352935791,443,0
66,0.23059916496276855,443,0
66,0.21793699264526367,57844,0
54,0.039610862731933594,443,0
1466,0.031250715255737305,443,0
878,0.004888296127319336,443,0
66,0.909083366394043,50553,0
54,0.0029401779174804688,443,0
1466,0.003904581069946289,443,0
910,0.003493070602416992,443,0
56,0.006850242614746094,57844,0
56,0.004962921142578125,57844,0
2878,0.004875659942626953,57844,0
54,0.006926536560058594,443,0
2878,0.0054967403411865234,57844,0
215,0.005875349044799805,57844,0
54,0.005976200103759766,443,0
128,0.00881195068359375,443,0
146,0.0068302154541015625,443,0
1075,0.006447553634643555,443,0
229,0.008871793746948242,443,0
258,0.005904674530029297,443,0
227,0.003918647766113281,443,0
227,0.003910064697265625,443,0
90,0.7272629737854004,443,0
90,0.00293731689453125,443,0
90,0.003957509994506836,443,0
66,0.0983729362487793,8081,0
66,0.0049130916595458984,8081,0
66,0.003904104232788086,8081,0
169,0.013820409774780273,57844,0
1466,0.02017521858215332,57844,0
54,0.005856037139892578,443,0
1466,0.008899688720703125,57844,0
54,0.004464149475097656,443,0
557,0.005863189697265625,57844,0
131,0.0059435367584228516,57844,0
54,0.0039014816284179688,443,0
85,0.008855581283569336,57844,0
54,0.006923675537109375,443,0
169,0.10337591171264648,57844,0
1466,0.005944013595581055,57844,0
54,0.007851123809814453,443,0
1006,0.009342670440673828,50553,0
58,0.007848501205444336,50560,0
54,0.0049266815185546875,8081,0
1184,0.010798215866088867,8081,0
54,0.004881858825683594,8081,0
66,0.012395381927490234,50554,0
66,0.003906726837158203,50561,0
54,0.003905057907104492,8081,0
54,0.005919933319091797,8081,0
1152,0.003903627395629883,8081,0
54,0.0034863948822021484,8081,0
66,0.005876779556274414,50555,0
56,0.0068929195404052734,50560,0
54,0.003906726837158203,8081,0
1168,0.004956960678100586,8081,0
54,0.004882097244262695,8081,0
1232,0.0044708251953125,8081,0
54,0.0058634281158447266,8081,0
58,0.004939079284667969,50556,0
54,0.003902912139892578,8081,0
1168,0.0029909610748291016,8081,0
54,0.004885196685791016,8081,0
56,0.005460023880004883,50554,0
66,0.002913236618041992,50559,0
54,0.002933979034423828,8081,0
56,0.005476951599121094,50555,0
56,0.0049076080322265625,50561,0
1216,0.003486156463623047,8081,0
54,0.003926277160644531,8081,0
54,0.008864164352416992,443,0
56,0.02310776710510254,50556,0
2878,0.009862422943115234,57844,0
54,0.004491329193115234,443,0
56,0.021622896194458008,50559,0
66,0.0290985107421875,50558,0
58,0.00393366813659668,50557,0
54,0.01278376579284668,8081,0
1168,0.0034830570220947266,8081,0
1152,0.008854866027832031,8081,0
54,0.003921031951904297,8081,0
54,0.004922389984130859,8081,0
2878,0.03885245323181152,57844,0
54,0.018749237060546875,443,0
66,0.1354658603668213,8081,0
66,0.0029287338256835938,8081,0
141,0.01918625831604004,57844,0
1466,0.0039327144622802734,57844,0
54,0.006934404373168945,443,0
1466,0.0029261112213134766,57844,0
54,0.001998424530029297,443,0
1098,0.007814168930053711,57844,0
54,0.005465269088745117,443,0
66,0.0029289722442626953,50562,0
54,0.003957509994506836,8081,0
1232,0.00939178466796875,8081,0
54,0.003932952880859375,8081,0
58,0.003908872604370117,50563,0
56,0.005956411361694336,50562,0
54,0.005881071090698242,8081,0
1248,0.006868839263916016,8081,0
54,0.006923675537109375,8081,0
56,0.018208026885986328,57844,0
56,0.036852359771728516,50563,0
1248,0.011397361755371094,8081,0
56,0.004914045333862305,50563,0
58,0.0746917724609375,50041,0
54,0.004899024963378906,7680,0
257,0.9320800304412842,443,0
257,0.0054399967193603516,443,0
258,0.08184313774108887,443,0
258,0.05571150779724121,443,0
257,0.010333538055419922,443,0
257,0.012840986251831055,443,0
226,0.004885435104370117,443,0
90,0.014370441436767578,443,0
90,0.014765024185180664,443,0
90,0.011790752410888672,443,0
90,0.011391639709472656,443,0
90,0.009879350662231445,443,0
90,0.016702890396118164,443,0
90,0.03208589553833008,443,0
259,0.1153719425201416,443,0
56,0.1738719940185547,57844,0
56,0.008908271789550781,57844,0
56,0.005946159362792969,57844,0
153,0.012760400772094727,57844,0
